Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Modalidade;CC;Data início funcionamento;Data Ato de Criação;Situação
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1517424;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;02/03/2020;17/12/2019;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1119473;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;5;08/02/2010;08/02/2010;Em Atividade
UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;Privada sem fins lucrativos;1187399;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;11/08/2011;11/08/2011;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1258538;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;04/02/2013;19/12/2012;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1541396;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;10/08/2020;03/08/2020;Em Atividade
UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Privada sem fins lucrativos;1570941;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;Não iniciado;08/03/2021;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;111090;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;07/03/2008;05/09/2007;Em Atividade
UNIVERSIDADE BRASIL;UB;Privada sem fins lucrativos;1576230;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;Não iniciado;24/06/2021;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1286800;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;07/01/2014;19/09/2013;Em Atividade
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Privada sem fins lucrativos;1550657;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;08/03/2021;19/11/2020;Em Atividade
CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;Privada sem fins lucrativos;1431918;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;15/02/2018;05/10/2017;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;1452646;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;25/08/2018;24/08/2018;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1258996;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;Não iniciado;28/03/2014;Extinto
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1404804;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;01/08/2017;23/09/2016;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1429880;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;19/02/2018;22/09/2017;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1602881;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;12/05/2022;12/05/2022;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1118107;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;31/01/2011;16/09/2010;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1350319;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;30/05/2017;30/05/2017;Em Atividade
UNIVERSIDADE TIRADENTES;UNIT;Privada com fins lucrativos;1333909;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;5;22/08/2015;07/10/2013;Em Atividade
UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;Privada sem fins lucrativos;1121456;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;5;08/03/2010;-;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1214120;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;3;01/01/2013;14/09/2012;Em Atividade
UNIVERSIDADE DE MARÍLIA;UNIMAR;Privada com fins lucrativos;1484081;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;29/07/2019;13/05/2019;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1382884;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;20/02/2017;26/10/2016;Em Atividade
UNIVERSIDADE LUTERANA DO BRASIL;ULBRA;Privada sem fins lucrativos;1479802;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;03/08/2020;22/06/2020;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1132259;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;30/07/2010;02/03/2010;Em Atividade
Centro Universitário Anhanguera Pitágoras Unopar de Niterói;UNIAN-RJ;Privada com fins lucrativos;1563016;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;08/02/2021;29/01/2021;Em Atividade
UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;Privada sem fins lucrativos;1166239;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;08/08/2011;20/11/2007;Em Atividade
UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;Privada sem fins lucrativos;1597137;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;Não iniciado;22/10/2021;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA;Pública Federal;116590;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;02/03/2009;18/10/2007;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA;Pública Federal;1122749;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;03/02/2011;12/08/2010;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA;Pública Federal;1315430;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;16/03/2015;28/11/2014;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA;Pública Federal;1452928;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;13/07/2018;13/06/2018;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA;Pública Federal;1456952;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;11/02/2019;21/09/2018;Em Atividade
CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;UNICNEC;Privada sem fins lucrativos;1420095;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;19/02/2018;05/10/2017;Em Atividade
UNIVERSIDADE LA SALLE;UNILASALLE;Privada sem fins lucrativos;1457226;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;25/02/2019;21/09/2018;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;1204357;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;13/03/2017;04/02/2013;Em Atividade
UNIVERSIDADE DE TAUBATÉ;UNITAU;Pública Municipal;1549986;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;04/01/2021;29/09/2020;Em Atividade
UNIVERSIDADE ANHANGUERA;UNIDERP;Privada com fins lucrativos;1194058;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;18/02/2013;23/11/2012;Em Atividade
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;UNIGRAN;Privada sem fins lucrativos;109830;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;12/02/2008;03/10/2007;Em Atividade
UNIVERSIDADE SANTA CECÍLIA;UNISANTA;Privada sem fins lucrativos;1550311;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;Não iniciado;21/09/2020;Em Atividade
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1597030;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;Não iniciado;22/10/2021;Em Atividade
UNIVERSIDADE DO VALE DO TAQUARI;UNIVATES;Privada sem fins lucrativos;1153739;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;19/02/2015;25/07/2014;Em Atividade
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;1138879;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;3;05/03/2012;08/02/2011;Em Extinção
Centro Universitário Estácio da Bahia;Estácio Bahia;Privada com fins lucrativos;1330095;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;5;09/03/2016;26/06/2015;Em Atividade
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Privada com fins lucrativos;1303431;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;10/02/2014;30/01/2014;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;73887;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;06/02/2006;25/08/2004;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1300041;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;06/02/2014;30/08/2012;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1438274;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;5;19/02/2018;16/01/2018;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1170053;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;5;05/03/2012;16/09/2011;Em Atividade
CENTRO UNIVERSITÁRIO FAEL;UNIFAEL;Privada com fins lucrativos;1166010;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;5;01/10/2015;28/11/2014;Em Atividade
CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS;-;Privada sem fins lucrativos;1548932;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;01/02/2021;11/09/2020;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1299253;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;03/02/2014;10/07/2013;Em Atividade
Centro Universitário das Américas;CAM;Privada com fins lucrativos;1536264;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;01/06/2020;11/05/2020;Em Atividade
Faculdade Multivix Serra;MULTIVIX SERRA;Privada com fins lucrativos;1405271;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;5;19/02/2018;03/01/2018;Em Atividade
