Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Modalidade;CC;Data início funcionamento;Data Ato de Criação;Situação
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1427620;FOTOGRAFIA;A Distância;4;01/02/2018;29/11/2017;Em Atividade
Centro Universitário Estácio da Bahia;Estácio Bahia;Privada com fins lucrativos;1382781;FOTOGRAFIA;Presencial;-;Não iniciado;25/11/2016;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1140256;FOTOGRAFIA;Presencial;-;07/02/2011;19/01/2010;Extinto
CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS;-;Privada sem fins lucrativos;1575856;FOTOGRAFIA;Presencial;-;Não iniciado;29/04/2021;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1427548;FOTOGRAFIA;Presencial;-;06/12/2019;19/01/2018;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1282864;FUTEBOL;Presencial;-;27/07/2016;27/07/2016;Em Atividade
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;1484498;GAME DESIGN;Presencial;-;Não iniciado;03/04/2019;Em Extinção
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1486086;GAME DESIGN;A Distância;-;04/07/2019;13/05/2019;Em Atividade
Centro Universitário Joaquim Nabuco de Recife;UNINABUCO RECIFE;Privada com fins lucrativos;1536205;GAME DESIGN;A Distância;-;01/08/2020;12/05/2020;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;1419800;GASTRONOMIA;A Distância;4;29/01/2018;02/10/2017;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1595406;GASTRONOMIA;A Distância;-;05/03/2022;26/10/2021;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1425410;GASTRONOMIA;A Distância;-;Não iniciado;08/12/2017;Extinto
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1382768;GASTRONOMIA;A Distância;4;01/02/2017;14/12/2016;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1563252;GASTRONOMIA;A Distância;-;15/02/2021;04/02/2021;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1420111;GASTRONOMIA;A Distância;-;05/02/2018;01/08/2017;Extinto
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1576071;GASTRONOMIA;A Distância;-;02/08/2021;07/05/2021;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1363507;GASTRONOMIA;A Distância;5;01/08/2016;18/12/2015;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;1524226;GASTRONOMIA;A Distância;-;10/02/2020;07/02/2020;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1113623;GASTRONOMIA;Presencial;4;03/02/2010;-;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1484535;GASTRONOMIA;A Distância;-;18/02/2019;12/02/2019;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;107966;GASTRONOMIA;Presencial;4;18/02/2008;30/11/2007;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1350316;GASTRONOMIA;Presencial;-;30/05/2017;30/05/2017;Extinto
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1382696;GASTRONOMIA;A Distância;5;01/02/2017;19/10/2016;Em Atividade
UNIVERSIDADE DE MARÍLIA;UNIMAR;Privada com fins lucrativos;1523681;GASTRONOMIA;A Distância;-;02/03/2020;12/02/2020;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1516389;GASTRONOMIA;A Distância;-;17/02/2020;21/11/2019;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1382707;GASTRONOMIA;A Distância;4;01/02/2017;17/10/2016;Em Atividade
UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;Privada sem fins lucrativos;1114787;GASTRONOMIA;Presencial;4;22/02/2010;26/11/2007;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;109106;GASTRONOMIA;Presencial;-;02/02/2011;03/05/2001;Em Atividade
UNIVERSIDADE ANHANGUERA;UNIDERP;Privada com fins lucrativos;1576331;GASTRONOMIA;A Distância;-;10/08/2021;07/07/2021;Em Atividade
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1434992;GASTRONOMIA;A Distância;4;08/08/2017;07/03/2017;Em Atividade
Centro Universitário de Excelência;UNEX;Privada com fins lucrativos;1441582;GASTRONOMIA;Presencial;-;Não iniciado;03/07/2018;Extinto
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;1259601;GASTRONOMIA;Presencial;4;25/11/2016;25/11/2016;Em Atividade
Centro Universitário Estácio da Bahia;Estácio Bahia;Privada com fins lucrativos;109516;GASTRONOMIA;Presencial;4;02/07/2007;05/02/2007;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;118856;GASTRONOMIA;Presencial;-;03/02/2009;06/06/2008;Extinto
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1314140;GASTRONOMIA;A Distância;4;23/02/2015;01/09/2014;Em Atividade
CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS;-;Privada sem fins lucrativos;1575858;GASTRONOMIA;Presencial;-;Não iniciado;29/04/2021;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1425339;GASTRONOMIA;A Distância;-;Não iniciado;11/12/2017;Extinto
FACULDADE BATISTA BRASILEIRA;FBB;Privada sem fins lucrativos;1108203;GASTRONOMIA;Presencial;4;03/09/2012;09/12/2010;Em Atividade
FACULDADE UNINASSAU VITÓRIA DA CONQUISTA;-;Privada com fins lucrativos;1282846;GASTRONOMIA;Presencial;-;24/06/2016;24/06/2016;Extinto
Faculdade Multivix Serra;MULTIVIX SERRA;Privada com fins lucrativos;1498079;GASTRONOMIA;A Distância;4;Não iniciado;09/11/2021;Em Atividade
CENTRO UNIVERSIÁRIO UNIFTC;-;Privada com fins lucrativos;1322610;GASTRONOMIA;Presencial;4;28/03/2016;30/10/2015;Em Atividade
CENTRO UNIVERSIÁRIO UNIFTC SALVADOR;-;Privada com fins lucrativos;1303876;GASTRONOMIA;Presencial;-;14/12/2016;30/11/2015;Extinto
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1424598;GASTRONOMIA;A Distância;-;19/02/2018;10/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1595910;GASTRONOMIA;A Distância;-;14/02/2022;03/11/2021;Em Atividade
FACULDADE UNIME DE CIÊNCIAS SOCIAIS;FCS;Privada com fins lucrativos;1303987;GASTRONOMIA;Presencial;3;07/07/2015;30/03/2015;Em Atividade
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS;FACISA;Privada com fins lucrativos;1383020;GASTRONOMIA;Presencial;4;15/05/2019;13/04/2018;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1379924;GASTRONOMIA;Presencial;-;12/12/2016;03/10/2016;Extinto
CENTRO UNIVERSITÁRIO SOCIAL DA BAHIA;UNISBA;Privada com fins lucrativos;1405593;GASTRONOMIA;Presencial;-;Não iniciado;09/04/2018;Em Atividade
FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA;FAT;Privada sem fins lucrativos;1453733;GASTRONOMIA;Presencial;-;05/08/2019;01/04/2019;Em Atividade
Centro Universitário UNIBTA;-;Privada com fins lucrativos;1520139;GASTRONOMIA;A Distância;-;06/03/2020;03/02/2021;Em Atividade
Faculdade Unirb - Feira de Santana;F. UNIRB;Privada com fins lucrativos;1364166;GASTRONOMIA;Presencial;4;14/12/2017;11/12/2017;Em Atividade
FACULDADE UNINASSAU LAURO DE FREITAS;-;Privada com fins lucrativos;1280102;GASTRONOMIA;Presencial;3;01/06/2015;01/06/2015;Em Extinção
Centro Universitário FG;UNIFG;Privada com fins lucrativos;1442879;GASTRONOMIA;Presencial;-;Não iniciado;17/04/2018;Extinto
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;109794;GASTRONOMIA;Presencial;3;11/08/2008;29/02/2008;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1538076;GASTRONOMIA;A Distância;-;Não iniciado;03/08/2020;Em Atividade
CENTRO UNIVERSITÁRIO INTA;UNINTA;Privada sem fins lucrativos;1404209;GASTRONOMIA;A Distância;-;07/05/2018;12/07/2017;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1412323;GASTRONOMIA;A Distância;4;01/02/2017;16/05/2016;Em Atividade
FACULDADE MADRE THAIS;FMT;Privada com fins lucrativos;1364488;GASTRONOMIA;Presencial;4;09/05/2017;31/03/2017;Em Atividade
CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO;Privada com fins lucrativos;1489754;GASTRONOMIA;A Distância;-;02/08/2019;-;Em Atividade
Centro Universitário UNIRB - Alagoinhas;-;Privada com fins lucrativos;1513870;GASTRONOMIA;Presencial;-;28/11/2019;04/11/2019;Em Atividade
FACULDADE ADVENTISTA DA BAHIA;FADBA;Privada sem fins lucrativos;1572035;GASTRONOMIA;Presencial;-;Não iniciado;10/12/2021;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1556849;GASTRONOMIA;A Distância;-;22/02/2021;01/12/2020;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO;IFBAIANO;Pública Federal;1492144;GASTRONOMIA;Presencial;-;13/04/2020;17/09/2019;Em Atividade
Faculdade Católica Paulista;FACAP;Privada sem fins lucrativos;1396378;GASTRONOMIA;A Distância;5;18/02/2019;06/11/2018;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1483684;GEOPROCESSAMENTO;A Distância;-;10/02/2020;19/03/2019;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;1332014;GERONTOLOGIA;A Distância;-;29/01/2018;10/08/2015;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1575928;GERONTOLOGIA;A Distância;-;02/08/2021;07/05/2021;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1556788;GERONTOLOGIA;A Distância;-;23/02/2021;02/10/2020;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1457479;GERONTOLOGIA;A Distância;-;11/02/2019;03/10/2018;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1575734;GERONTOLOGIA;A Distância;-;31/05/2021;12/04/2021;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1486625;GERONTOLOGIA - BEM-ESTAR E EDUCAÇÃO;A Distância;-;14/06/2019;14/06/2019;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1487611;GERONTOLOGIA - BEM-ESTAR E EDUCAÇÃO;A Distância;-;29/06/2019;29/06/2019;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1487990;GERONTOLOGIA - BEM-ESTAR E EDUCAÇÃO;A Distância;-;30/06/2019;27/05/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1484115;GERONTOLOGIA - CUIDADO AO IDOSO;A Distância;-;03/04/2019;01/04/2019;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;108872;GESTÃO AMBIENTAL;A Distância;4;09/02/2008;04/07/2006;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1118254;GESTÃO AMBIENTAL;A Distância;4;10/02/2009;19/12/2007;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1174691;GESTÃO AMBIENTAL;A Distância;4;01/02/2011;17/08/2010;Em Atividade
UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;Privada sem fins lucrativos;115806;GESTÃO AMBIENTAL;A Distância;4;11/09/2008;11/09/2008;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1285859;GESTÃO AMBIENTAL;A Distância;-;03/02/2014;18/12/2013;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1562830;GESTÃO AMBIENTAL;A Distância;-;15/02/2021;04/02/2021;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;111094;GESTÃO AMBIENTAL;A Distância;5;04/03/2008;05/09/2007;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1286857;GESTÃO AMBIENTAL;A Distância;4;07/01/2014;19/09/2013;Em Atividade
CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;Privada sem fins lucrativos;1410331;GESTÃO AMBIENTAL;A Distância;4;13/02/2017;04/01/2016;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;1466445;GESTÃO AMBIENTAL;A Distância;4;01/02/2018;26/09/2017;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;97887;GESTÃO AMBIENTAL;Presencial;4;26/06/2006;22/03/2006;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;119176;GESTÃO AMBIENTAL;Presencial;-;Não iniciado;02/03/2009;Extinto
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1377507;GESTÃO AMBIENTAL;A Distância;-;10/10/2016;10/06/2016;Em Atividade
UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;Privada sem fins lucrativos;115950;GESTÃO AMBIENTAL;A Distância;-;21/07/2008;26/05/2008;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1457326;GESTÃO AMBIENTAL;Presencial;-;Não iniciado;18/09/2018;Extinto
UNIVERSIDADE TIRADENTES;UNIT;Privada com fins lucrativos;1562295;GESTÃO AMBIENTAL;A Distância;-;Não iniciado;07/01/2021;Em Atividade
UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;Privada sem fins lucrativos;1445852;GESTÃO AMBIENTAL;A Distância;-;10/07/2018;11/05/2018;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1266730;GESTÃO AMBIENTAL;A Distância;4;01/01/2014;26/09/2013;Em Atividade
UNIVERSIDADE DE MARÍLIA;UNIMAR;Privada com fins lucrativos;1335437;GESTÃO AMBIENTAL;A Distância;5;29/07/2019;02/04/2019;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1428314;GESTÃO AMBIENTAL;A Distância;-;19/02/2018;13/12/2017;Em Atividade
UNIVERSIDADE LUTERANA DO BRASIL;ULBRA;Privada sem fins lucrativos;1205712;GESTÃO AMBIENTAL;A Distância;-;29/07/2013;09/11/2012;Em Extinção
UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;Privada sem fins lucrativos;117496;GESTÃO AMBIENTAL;A Distância;-;15/07/2008;14/12/2007;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1296692;GESTÃO AMBIENTAL;A Distância;4;03/02/2014;06/08/2013;Em Atividade
CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;UNICNEC;Privada sem fins lucrativos;1388186;GESTÃO AMBIENTAL;A Distância;-;28/08/2017;24/03/2017;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;1204343;GESTÃO AMBIENTAL;A Distância;-;01/02/2018;04/02/2013;Em Atividade
UNIVERSIDADE ANHANGUERA;UNIDERP;Privada com fins lucrativos;1314992;GESTÃO AMBIENTAL;A Distância;4;23/02/2015;21/10/2014;Em Atividade
UNIVERSIDADE SANTA CECÍLIA;UNISANTA;Privada sem fins lucrativos;1293142;GESTÃO AMBIENTAL;A Distância;4;01/02/2016;28/08/2012;Em Atividade
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1268517;GESTÃO AMBIENTAL;A Distância;3;03/06/2013;22/11/2010;Em Atividade
Centro Universitário Estácio da Bahia;Estácio Bahia;Privada com fins lucrativos;122838;GESTÃO AMBIENTAL;Presencial;-;28/06/2008;25/09/2006;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1115133;GESTÃO AMBIENTAL;Presencial;-;05/02/2010;19/01/2010;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1139913;GESTÃO AMBIENTAL;Presencial;-;22/02/2010;20/01/2010;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1161855;GESTÃO AMBIENTAL;Presencial;-;Não iniciado;09/05/2011;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1287504;GESTÃO AMBIENTAL;A Distância;4;01/06/2013;30/08/2012;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1170031;GESTÃO AMBIENTAL;A Distância;4;05/03/2012;16/09/2011;Em Atividade
CENTRO UNIVERSITÁRIO FAEL;UNIFAEL;Privada com fins lucrativos;1259896;GESTÃO AMBIENTAL;A Distância;4;02/03/2015;28/11/2014;Em Atividade
CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS;-;Privada sem fins lucrativos;1575859;GESTÃO AMBIENTAL;Presencial;-;Não iniciado;29/04/2021;Em Atividade
CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE;UNIANDRADE;Privada sem fins lucrativos;1420450;GESTÃO AMBIENTAL;A Distância;5;26/02/2018;20/06/2017;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1300486;GESTÃO AMBIENTAL;A Distância;4;03/02/2014;11/07/2013;Em Atividade
Centro Universitário Campo Limpo Paulista;UNIFACCAMP;Privada com fins lucrativos;1442860;GESTÃO AMBIENTAL;A Distância;4;02/04/2018;02/04/2018;Em Atividade
Faculdade Multivix Serra;MULTIVIX SERRA;Privada com fins lucrativos;1405209;GESTÃO AMBIENTAL;A Distância;4;19/02/2018;27/11/2017;Em Atividade
Faculdade Área1 Wyden;Área1 Wyden;Privada com fins lucrativos;1387237;GESTÃO AMBIENTAL;Presencial;-;Não iniciado;01/10/2018;Extinto
CENTRO UNIVERSITÁRIO INGÁ;UNINGÁ;Privada com fins lucrativos;1427723;GESTÃO AMBIENTAL;A Distância;4;03/02/2018;23/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;109418;GESTÃO AMBIENTAL;A Distância;4;13/12/2007;08/09/2004;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1487586;GESTÃO AMBIENTAL;A Distância;-;01/08/2019;04/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1204112;GESTÃO AMBIENTAL;A Distância;4;04/02/2013;12/07/2012;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1379278;GESTÃO AMBIENTAL;A Distância;4;09/02/2017;16/12/2015;Em Atividade
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Privada sem fins lucrativos;1575263;GESTÃO AMBIENTAL;A Distância;-;26/04/2021;22/04/2021;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1596949;GESTÃO AMBIENTAL;A Distância;-;19/11/2021;19/11/2021;Em Atividade
Centro Universitário Favip Wyden;UniFavip Wyden;Privada com fins lucrativos;1468852;GESTÃO AMBIENTAL;A Distância;5;04/03/2019;30/01/2019;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;IFPE;Pública Federal;100746;GESTÃO AMBIENTAL;A Distância;4;31/10/2007;26/12/2006;Em Atividade
CENTRO UNIVERSITÁRIO DE LINS;UNILINS;Privada sem fins lucrativos;1599216;GESTÃO AMBIENTAL;A Distância;-;Não iniciado;14/02/2022;Em Atividade
Centro Universitário UNIBTA;-;Privada com fins lucrativos;1520140;GESTÃO AMBIENTAL;A Distância;-;06/03/2020;-;Em Atividade
Centro Universitário de Excelência Eniac;ENIAC;Privada com fins lucrativos;1486130;GESTÃO AMBIENTAL;A Distância;-;04/07/2019;03/06/2019;Em Atividade
FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA;FAESF/UNEF;Privada com fins lucrativos;1454429;GESTÃO AMBIENTAL;A Distância;4;01/08/2019;15/07/2019;Em Atividade
FACULDADE UNIDA DE VITÓRIA;FACULDADE UNIDA;Privada sem fins lucrativos;1479164;GESTÃO AMBIENTAL;A Distância;4;Não iniciado;05/10/2020;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1363802;GESTÃO AMBIENTAL;A Distância;4;07/08/2016;04/07/2016;Em Atividade
CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI;Privada com fins lucrativos;1452030;GESTÃO AMBIENTAL;A Distância;-;15/08/2018;15/08/2018;Em Atividade
CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO;Privada com fins lucrativos;1332338;GESTÃO AMBIENTAL;A Distância;4;07/08/2017;12/06/2017;Em Atividade
CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Privada com fins lucrativos;1562721;GESTÃO AMBIENTAL;A Distância;-;01/09/2021;10/02/2021;Em Atividade
Faculdade Unyleya;-;Privada com fins lucrativos;1259287;GESTÃO AMBIENTAL;A Distância;4;03/08/2015;04/05/2015;Em Atividade
CENTRO UNIVERSITÁRIO SENAI CIMATEC;SENAI CIMATEC;Privada sem fins lucrativos;5001180;GESTÃO AMBIENTAL;Presencial;4;04/02/2013;26/09/2012;Em Extinção
CENTRO UNIVERSITÁRIO SENAC;SENACSP;Privada sem fins lucrativos;1438312;GESTÃO AMBIENTAL;A Distância;5;19/02/2018;01/12/2016;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1540748;GESTÃO AMBIENTAL;A Distância;-;03/07/2020;03/07/2020;Em Atividade
Faculdade de Ciências, Educação, Saúde, Pesquisa e Gestão;FSF;Privada com fins lucrativos;1305990;GESTÃO AMBIENTAL;A Distância;4;01/02/2018;04/09/2017;Em Atividade
Faculdade Metropolitana do Estado de São Paulo;FAMEESP;Privada com fins lucrativos;1527530;GESTÃO AMBIENTAL;A Distância;4;07/03/2022;17/09/2021;Em Atividade
Faculdade de Tecnologia CNA;FATECNA;Privada sem fins lucrativos;1336903;GESTÃO AMBIENTAL;A Distância;4;13/08/2018;-;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1415344;GESTÃO COMERCIAL;A Distância;5;02/10/2017;22/08/2017;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1178366;GESTÃO COMERCIAL;A Distância;4;01/02/2011;17/08/2010;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1285860;GESTÃO COMERCIAL;A Distância;-;03/02/2014;18/12/2013;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1519040;GESTÃO COMERCIAL;A Distância;-;06/04/2020;21/02/2020;Em Atividade
UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Privada sem fins lucrativos;1517533;GESTÃO COMERCIAL;A Distância;-;03/02/2020;20/11/2019;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1423128;GESTÃO COMERCIAL;A Distância;5;05/02/2018;20/11/2017;Em Atividade
UNIVERSIDADE BRASIL;UB;Privada sem fins lucrativos;1576233;GESTÃO COMERCIAL;A Distância;-;Não iniciado;24/06/2021;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1382605;GESTÃO COMERCIAL;A Distância;5;26/01/2017;15/06/2016;Em Atividade
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Privada sem fins lucrativos;1563255;GESTÃO COMERCIAL;A Distância;-;08/03/2021;01/02/2021;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;1428343;GESTÃO COMERCIAL;A Distância;5;01/02/2017;10/12/2008;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;89401;GESTÃO COMERCIAL;A Distância;-;08/08/2005;28/06/2005;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;97807;GESTÃO COMERCIAL;Presencial;4;26/06/2006;22/03/2006;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;119172;GESTÃO COMERCIAL;Presencial;-;02/03/2009;02/03/2009;Extinto
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1427747;GESTÃO COMERCIAL;Presencial;-;15/02/2017;23/09/2016;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1520567;GESTÃO COMERCIAL;Presencial;-;17/02/2020;05/02/2020;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1602936;GESTÃO COMERCIAL;Presencial;-;03/06/2022;18/03/2022;Em Atividade
UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;Privada sem fins lucrativos;1382839;GESTÃO COMERCIAL;A Distância;4;20/07/2016;19/05/2016;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;107612;GESTÃO COMERCIAL;Presencial;4;14/11/2007;14/11/2007;Em Atividade
